newsNo,title,signature
0,Claves e incógnitas para entender el 90% de la eficacia de la vacuna de Pfizer,Esther Samper
1,Por qué Ayuso no tiene que guardar aislamiento si ha tenido un contacto estrecho de COVID-19,Belén Remacha
2,El fondo europeo de recuperación está más cerca: las negociaciones desbloquean el presupuesto de la UE para 2021-2027,Andrés Gil — Corresponsal en Bruselas
3,La mitad de las muertes en la segunda ola vuelven a darse en las residencias,Mónica Zas Marcos
4,Cambio en las normas de tráfico: 30km/h en vías urbanas de un carril por sentido y más sanciones por conducir con el móvil,Irene Castro
5,Bárcenas se ofrece a colaborar con Anticorrupción en el caso de la caja B del PP a cambio de beneficios para su mujer,elDiario.es Política
6,"El PP asegura que ""no le preocupa"" lo que diga Bárcenas a los fiscales: ""Cuando estás condenado haces estupideces""",
7,Rosalía Iglesias entra en la cárcel de Alcalá para cumplir su condena por el caso Gürtel,
8,Ciudadanos exige a Sánchez que rechace la enmienda sobre el castellano en la Ley de Educación para apoyar los Presupuestos,
9,"John McAfee, de gurú en Silicon Valley a una prisión catalana: ""Las cárceles aquí son como el Hilton comparado con Estados Unidos""",Pol Pareja
10,"Los vídeos inéditos de los terroristas de la Rambla mientras fabricaban explosivos: ""Alá nos ha prometido el paraíso y a vosotros el infierno""",Oriol Solé Altimira
11,"El principal acusado por los atentados de Barcelona y Cambrils se declara ""arrepentido""",Oriol Solé Altimira
12,Dimite el fiscal jefe de delitos electorales de EEUU tras recibir la orden de investigar las acusaciones de fraude en los comicios,
13,Hasta la cadena conservadora Fox News da la espalda a los bulos de Trump,elDiario.es
14,El juicio de Thermomix contra Monsieur Cuisine de Lidl arranca con un duelo de peritos,elDiario.es Catalunya
15,"Maricuela, la voz de la doble derrota de las milicianas en la Guerra Civil",Andrea Pardo
16,El Papa desmonta la Secretaría de Estado del Vaticano y le quita los fondos tras los escándalos de corrupción,Jesús Bastante — en religiondigital.com
17,"La patronal arremete contra la subida del 0,9% del salario de funcionarios y pensiones: ""No tiene sentido""",Laura Olías
18,El Gobierno da el primer paso para ratificar la Carta Social Europea que garantiza derechos como la dignidad en el trabajo,Laura Olías
19,2020 está siendo un año nefasto para la capa de ozono que protege la vida,Raúl Rejón
20,"""Lo que ha ocurrido en Adelante Andalucía no es una persecución o fobia, es transfuguismo""",Javier Domínguez Reguero
21,"Bruselas acusa a Amazon de ""abusar ilegalmente de posición dominante"" en Alemania y Francia",Andrés Gil — Corresponsal en Bruselas
22,"Una historia de delirio, poder y ambición en la Catalunya de Pujol y 'El País' de Cebrián",Neus Tomàs
23,Cómo Alex O'Dogherty y 80 payasos cruzaron la frontera en la Guerra de los Balcanes,Antonio Contreras
