newsNo,title,signature
0,España intenta desmarcarse de los confinamientos de Europa manteniendo la curva a una velocidad estable,Belén Remacha / Marta Borraz / Raúl Sánchez
1,Andalucía cierra toda la actividad no esencial desde las 18h,Javier Ramajo
2,Ayuso inicia una cuarentena tras un contacto con un positivo por COVID-19 en su entorno,Fátima Caballero
3,"Castilla-La Mancha prorroga el toque de queda y cierra el interior de la hostelería en Toledo, Cuenca y Talavera",Carmen Bachiller
4,"Cuentas en Suiza, donaciones millonarias y tarjetas opacas: 300.000 euros de sueldo no fue suficiente para los anteriores reyes",Elena Herrera
5,Trump sigue siendo presidente: qué puede hacer en dos meses de traspaso de poderes,María Ramírez
6,¿Por qué hemos tardado cuatro días en saber que Joe Biden había ganado?,Carlos Hernández-Echevarría
7,Cómo el apoyo de los jóvenes afroamericanos ha levantado la candidatura de Biden a la Casa Blanca,Kenya Evelyn
8,¿Se termina por fin el Show Trump?,Judith Butler
9,"El expresidente Bush felicita a Biden: ""Los estadounidenses pueden confiar en que estas elecciones fueron justas""",
10,El Gobierno pide a la jueza entrar en el Pazo de Meirás y evitar el expolio de los Franco,Paola Obelleiro / Gonzalo Cortizo
11,Más de 100 sicavs han comunicado su baja desde que el PSOE y Podemos anunciaron más controles,Antonio M. Vélez
12,Los ejércitos se rearman en plena guerra fría entre Susana Díaz y Ferraz,Irene Castro
13,"El virus pasa factura a la ""oficina de empleo"" más precaria de Madrid",Sofía Pérez Mendoza
14,La anulación de la venta de 3.000 pisos a Goldman Sachs augura un nuevo pleito: Díaz Ayuso se niega a que el fondo los devuelva,Laura Galaup
15,La ultraderecha católica prepara su ofensiva en las calles contra el aborto y la eutanasia,Jesús Bastante — en religiondigital.com
16,Un hombre mata a su pareja en Lloret de Mar y se entrega a la policía,elDiario.es Catalunya
17,Pagar una PCR para visitar a tu madre o acompañar a un hijo al hospital privado,Víctor Honorato
18,"Maricuela, la voz de la doble derrota de las milicianas en la Guerra Civil",Andrea Pardo
19,"'Carmen de Mairena: Una vida trepidante por detrás y por delante', la biografía de un icono de la supervivencia",Carmen López
20,Cómo Alex O'Dogherty y 80 payasos cruzaron la frontera en la Guerra de los Balcanes,Antonio Contreras
21,¿Se puede dejar la herencia a personas que no sean de la familia?,Jordi Sabaté
22,"Carnés de camareros, cualificación para 'riders' y repartidores prémium: ya está aquí la 'titulitis' precaria",Analía Plaza
23,Barcelona detecta más embarazos no deseados vinculados a la trata de mujeres durante la epidemia,Pau Rodríguez
24,El 'gigante' de la sanidad privada en Canarias emplea como enfermeros a personal sin el título para ejercer,Iván Suárez — Las Palmas de Gran Canaria
25,Terraplanistas del esférico: el primer club de fútbol de negacionistas juega en Tercera División,Àlex Llorca Llinares
26,Juicio al terror: los tres únicos acusados por los atentados de Barcelona y Cambrils se sientan en el banquillo,Oriol Solé Altimira
27,"La mujer de Bárcenas, Rosalía Iglesias, entra en la cárcel de Alcalá para cumplir su condena por el caso Gürtel",
28,La rendición de cuentas de los líderes autonómicos en la pandemia: más entrevistas que explicaciones en sus Parlamentos,Marcos Pinheiro
29,Pablo Iglesias promueve junto a los presidentes de Argentina y Bolivia un manifiesto contra la ultraderecha,
30,"El Gobierno denunciará la ""revictimización"" que suponen los recibimientos a presos de ETA",elDiario.es Euskadi
31,Luces y sombras de la Ley del Aborto en España,Francisca García / Eva Rodríguez — Presidenta y vicepresidenta de ACAI
32,"Arce lanza en su discurso de investidura como presidente de Bolivia duras críticas al Gobierno de Áñez: ""Se escamoteó la voluntad popular""",
33,"Corregir los errores de Clinton y no ponerse enfermo, las dos razones del éxito de Biden",Iñigo Sáenz de Ugarte
34,"Biden, presidente electo: ""Este es el momento de cerrar heridas en Estados Unidos""",María Ramírez
35,Alopecia femenina: ¿por qué a muchas mujeres se les cae el pelo?,Cristian Vázquez
36,"La educación especial en tiempos de pandemia: retraso en los informes, paralización de la educación combinada y especialistas cubriendo bajas",Blanca Sáinz
37,Los recortes del 'escudo social' afloran la pobreza energética: más de mil familias piden ayuda para pagar la luz y el gas en Zaragoza,Eduardo Bayona — Zaragoza
38,"El autor de la primera tesis doctoral sobre la Brigada Político Social: ""Mucha documentación ni siquiera se puede ojear""",Lucas Marco
39,"Audios, fotos y listados de ayudas: bulos sobre la llegada de inmigrantes a Canarias",Maldita.es
40,Un centenar de trabajadores y dos turnos diarios: así se construyó a toda prisa el búnker oculto de la Generalitat,Pol Pareja
41,La UE impondrá aranceles a Estados Unidos por sus ayudas ilegales a Boeing,Economía
42,Escrivá pone en el punto de mira las prejubilaciones pactadas en los ERE,Laura Olías
43,"Si no lleva leche, que no lo llamen queso (ni 'keso', ni no-queso, ni parecido al queso...)",Analía Plaza
44,"""En los barrios de Madrid vuelve a haber una situación muy jodida de hambre""",Sofía Pérez Mendoza
45,Canarias no da por perdida su temporada de invierno y busca alternativas como atraer 'nómadas digitales',Jennifer Jiménez — Las Palmas de Gran Canaria
46,La generación pandémica de la cultura: librerías y cines nacidos en plena crisis se juegan su futuro,Rocío Niebla
47,'Mujercitas' y 'Emma' ya no son lo que eran: el cine recupera clásicos de grandes escritoras con más feminismo y menos amor romántico,Berta Gómez
48,"Suso de Toro: ""España tenía que haber sido catalanizada, pero España es Madrid y Madrid no se deja catalanizar""",Daniel Salgado
49,"Ferreras: ""'Antidisturbios' es un deslumbrante puñetazo de realismo sucio""",Piedad Sancristóval
50,¿Es más ventajoso casarse que ser pareja de hecho o vivir sin hacer papeles?,Cristian Vázquez
51,Azúcar fantasma: diez alimentos que lo tienen y no lo sospechas,Jordi Sabaté
52,Amoaxofobia: seis estrategias para curar el miedo a conducir,Marta Chavarrías
53,Qué tener en cuenta a la hora de cubrir una pared con papel pintado,Jordi Sabaté
54,'Salvados': las condiciones que puso Esperanza Aguirre para la entrevista y la pregunta que provocó su fuga,
55,"El mensaje de Cristina Pardo a los 'haters' por su centenario en laSexta: ""Ya lo siento""",
56,'Patria' se despide con un final que apuñala tras diluirse tristemente su impacto inicial,M. Méndez
57,"Momentazos televisivos de la victoria de Joe Biden: perdones, zascas y lágrimas en directo",
58,"'Moonbase 8', una agradable comedia espacial tan entrañable como absurda",P. Zárate
59,"Muere Paquita Martín, la 'pensionista indignada' de 'laSexta Noche'",
60,Consigue el mejor pack de periodismo independiente: 1 año de elDiario.es y la revista Mongolia,
61,elDiario.es ofrece a pymes y cooperativas contratar publicidad desde 500 euros,elDiario.es
62,Fiscalizar la monarquía en tiempos de periodismo cortesano: debate entre Ignacio Escolar y Neus Tomàs,
